Date,Astral,JindalSteels,Jublinds,Voltas,Jubilant,Havells,Reliance,BombayDyeing,Berger Paints,Manappuram
01-Jan-14,135.259995,250.25,52.299999,106.099998,134.75,155.369995,415.424988,56.099998,72.89286,19.65
01-Feb-14,150.520004,238.899994,49.200001,133.5,124.550003,153.600006,399.625,51.049999,75.535713,22.549999
01-Mar-14,186.100006,291.799988,50.150002,160.949997,158.899994,185.990005,464.75,55.299999,81.98214,21.549999
01-Apr-14,216.160004,255.5,85,154.75,166.399994,185.839996,467.649994,58.349998,85.964287,22.25
01-May-14,234.919998,298,81.650002,186.699997,174.5,193.550003,532.575012,72.400002,88.303574,20.75
01-Jun-14,280.559998,322.700012,87.25,218.199997,207.699997,234.710007,507.350006,78.849998,103.375,23.5
01-Jul-14,275.779999,275,105.400002,192.300003,187.850006,239.369995,503,71.25,107.35714,22.35
01-Aug-14,324,233.25,87.400002,244.300003,167.600006,283.700012,499.625,68.5,122.803574,25.950001
01-Sep-14,322.160004,172.949997,86.400002,241.800003,155.75,264.700012,472.674988,69,135.196426,29.450001
01-Oct-14,284.23999,161.199997,82.099998,251.399994,144.850006,284.299988,499.600006,66.75,141.785721,31.4
01-Nov-14,348.359985,140.850006,76.949997,270.549988,134.199997,318.600006,495.424988,69.050003,140.321426,36.75
01-Dec-14,314.320007,151.850006,67.400002,242.100006,121.150002,275.350006,445.575012,66.949997,143.714279,34.099998
01-Jan-15,306.279999,158.75,75,268.899994,172.699997,259.299988,457.674988,81.199997,163.75,31.9
01-Feb-15,354.600006,193.649994,70.699997,256.649994,159.199997,273.399994,427.825012,74.349998,161.321426,34.75
01-Mar-15,354.480011,156.600006,82.400002,279.350006,152.449997,305.149994,412.350006,63.900002,149.142853,32.349998
01-Apr-15,353.959991,139.550003,111.349998,280.549988,149.600006,279.950012,431.424988,64.449997,150.25,34.650002
01-May-15,307.23999,119.400002,154.199997,332.950012,174.199997,275.799988,438.575012,67.199997,151.071426,31.6
01-Jun-15,309.959991,85.599998,156,314.600006,167,282.100006,500.225006,73.449997,139.321426,28.1
01-Jul-15,296.079987,78.75,168.399994,317.600006,262.75,278.75,500.825012,87.300003,155.678574,27.049999
01-Aug-15,338.480011,67.900002,302.5,273.350006,357.200012,259.649994,428.399994,63.099998,151.678574,23.25
01-Sep-15,337.160004,60.599998,276,268.299988,379.75,252.300003,430.25,63.299999,156.535721,24.049999
01-Oct-15,332.640015,80.050003,228.800003,283.100006,408.850006,253.199997,473.924988,66.050003,158.464279,24.25
01-Nov-15,333.160004,91.099998,218.5,288.5,412.200012,285.600006,484,67,157.357147,26.549999
01-Dec-15,350.839996,96.099998,230.300003,323.700012,410.299988,304.75,506.299988,64.300003,191.607147,29.5
01-Jan-16,336.559998,64.25,177.300003,286.25,348.899994,296.149994,517.525024,53.349998,190.035721,28.6
01-Feb-16,272.600006,53.349998,136.300003,222.550003,307.700012,272.200012,483.274994,40.200001,160.392853,30.200001
01-Mar-16,335.600006,60.049999,152,276.950012,416.350006,322.25,522.625,47.549999,174.642853,34.950001
01-Apr-16,352.480011,69.900002,150.800003,293.200012,400.049988,333,491.274994,49.150002,184.607147,40
01-May-16,355.23999,63.349998,151.5,335.899994,361.549988,364.5,479.475006,43.75,202.214279,53.700001
01-Jun-16,375.160004,67.75,170.399994,321.299988,314.950012,359.25,484.725006,46.299999,198,68.949997
01-Jul-16,406,83.5,163.649994,349.75,335.149994,388.5,507.75,46.650002,237.699997,81.900002
01-Aug-16,380.040009,85.449997,216.699997,390.600006,537.150024,418.200012,529,44.450001,260.399994,85.400002
01-Sep-16,351.119995,76,202.800003,379.5,614.650024,418,541.049988,50.75,261.100006,91.599998
01-Oct-16,358.920013,75.25,216.949997,387.450012,689.25,406.399994,526.75,57.75,258.799988,102.150002
01-Nov-16,320.839996,70.599998,282.75,314.5,704.75,343.899994,496.375,46.25,228.350006,76.949997
01-Dec-16,314.320007,69.099998,277.450012,328.25,630.700012,342.799988,540.049988,47.25,210.550003,67.25
01-Jan-17,308.720001,80.050003,368.399994,327.5,671.5,418.899994,521.700012,54.950001,211.25,78.849998
01-Feb-17,358.959991,125.5,331.350006,372,719.049988,405.049988,619.125,58.75,231.75,97.199997
01-Mar-17,438,120.949997,312.200012,412.149994,798.450012,468.149994,659.599976,83,241.5,98
01-Apr-17,444.399994,114.199997,312.200012,410.450012,772.099976,483.399994,697.400024,86.400002,261.299988,93.400002
01-May-17,486.920013,121.900002,272.799988,486.399994,727.5,488.350006,670.299988,71.550003,251.600006,89.150002
01-Jun-17,549.039978,123.099998,242.949997,457.850006,684.349976,459.799988,690.125,80.699997,246.149994,97.900002
01-Jul-17,497.920013,153.5,251.449997,503.75,713.599976,472.350006,806.924988,83.5,248.050003,106.699997
01-Aug-17,546.320007,137.149994,213.399994,524.349976,701.799988,488.350006,796.75,114.800003,246.199997,99.25
01-Sep-17,588.440002,134.75,202.850006,504.700012,656.75,482.850006,782.150024,176.850006,244.949997,96.650002
01-Oct-17,610.52002,163.100006,222.100006,568.349976,640.099976,484.700012,940.799988,194.300003,265.649994,100.849998
01-Nov-17,673,172.050003,214.649994,636.700012,656.099976,510.399994,922.599976,221.350006,257.899994,105.300003
01-Dec-17,671.679993,204.949997,264,655.700012,788.049988,562.150024,921.049988,277.5,271,123.300003
01-Jan-18,642.359985,266.299988,215.649994,604.400024,912.5,522.049988,961.150024,227.850006,250.100006,111
01-Feb-18,726.76001,254.199997,199.050003,608.75,877.599976,507.200012,952.450012,258.600006,248.5,107.75
01-Mar-18,716.559998,219.300003,168,620.599976,839.799988,487.75,882.799988,239.350006,256.450012,109.25
01-Apr-18,761.359985,251.5,167.300003,643.599976,880.700012,546.799988,963.099976,310.350006,286.200012,122.199997
01-May-18,822.799988,229.5,158.600006,540.200012,787.400024,545.549988,921.299988,241,297.75,107.75
01-Jun-18,807.119995,223.050003,140.5,521.650024,698.150024,542.900024,972.950012,220.350006,281.25,98.599998
01-Jul-18,893.919983,205,136.399994,568.200012,737.200012,634.25,1185.849976,260.600006,315.149994,105.199997
01-Aug-18,889.76001,220.949997,138.449997,616.599976,723.200012,723.849976,1240.949951,270.399994,334.5,100.099998
01-Sep-18,785.840027,196.149994,107.099998,529.150024,731.099976,594.099976,1258.199951,168.100006,292.850006,72.400002
01-Oct-18,780.039978,171.399994,104.25,538.049988,661.5,642.400024,1061.400024,104.550003,280.049988,79.699997
01-Nov-18,835.559998,153.899994,97.349998,553.799988,768.700012,684.599976,1168.199951,99.300003,319.5,85.75
01-Dec-18,905.880005,164.75,99.849998,552.450012,709.650024,692.299988,1121.050049,113.800003,330.649994,92.849998
